t,area
0.000000e+00, 0.0
1.000260e-04, 0.0
2.000096e-04, 0.0
3.000481e-04, 0.0
4.000981e-04, 0.0
5.001627e-04, 0.0
6.001939e-04, 0.0
7.002426e-04, 0.0
8.003116e-04, 0.0
9.003755e-04, 0.0
1.000432e-03, 0.0
1.100501e-03, 0.0
1.200569e-03, 0.0
1.300632e-03, 0.0
1.400701e-03, 0.0
1.500765e-03, 0.0
1.600833e-03, 0.0
1.700902e-03, 0.0
1.800966e-03, 0.0
1.900041e-03, 0.0
2.000107e-03, 0.0
2.100171e-03, 0.0
2.200235e-03, 0.0
2.300300e-03, 0.0
2.400364e-03, 0.0
2.500427e-03, 0.0
2.600490e-03, 0.0
2.700554e-03, 0.0
2.800617e-03, 0.0
2.900679e-03, 0.0
3.000742e-03, 0.0
3.100804e-03, 0.0
3.200866e-03, 0.0
3.300929e-03, 0.0
3.400991e-03, 0.0
3.500062e-03, 0.0
3.600125e-03, 0.0
3.700187e-03, 0.0
3.800249e-03, 0.0
3.900311e-03, 0.0
4.000373e-03, 0.0
4.100433e-03, 0.0
4.200440e-03, 0.0
4.300381e-03, 0.0
4.400265e-03, 0.0
4.500095e-03, 0.0
4.600861e-03, 0.0
4.700592e-03, 0.0
4.800276e-03, 0.0
4.900899e-03, 0.0
5.000489e-03, 0.0
5.100026e-03, 0.0
5.200466e-03, 0.0
5.300825e-03, 0.0
5.400121e-03, 0.0
5.500323e-03, 0.0
5.600454e-03, 0.0
5.700515e-03, 0.0
5.800511e-03, 0.0
5.900445e-03, 0.0
6.000320e-03, 0.0
6.100139e-03, 0.0
6.200883e-03, 0.0
6.300598e-03, 0.0
6.400264e-03, 0.0
6.500860e-03, 0.0
6.600434e-03, 0.0
6.700940e-03, 0.0
6.800428e-03, 0.0
6.900849e-03, 0.0
7.000241e-03, 0.0
7.100547e-03, 0.0
7.200792e-03, 0.0
7.300007e-03, 0.0
7.400138e-03, 0.0
7.500214e-03, 0.0
7.600238e-03, 0.0
7.700211e-03, 0.0
7.800135e-03, 0.0
7.900012e-03, 0.0
8.000812e-03, 0.0
8.100599e-03, 0.0
8.200345e-03, 0.0
8.300051e-03, 0.0
8.400686e-03, 0.0
8.500319e-03, 0.0
8.600884e-03, 0.0
8.700450e-03, 0.0
8.800953e-03, 0.0
8.900461e-03, 0.0
9.000909e-03, 0.0
9.100365e-03, 0.0
9.200765e-03, 0.0
9.300177e-03, 0.0
9.400535e-03, 0.0
9.500874e-03, 0.0
9.600232e-03, 0.0
9.700538e-03, 0.0
9.800831e-03, 0.0
9.900147e-03, 0.0
1.000042e-02, 0.0
1.010068e-02, 0.0
1.020093e-02, 0.0
1.030021e-02, 0.0
1.040044e-02, 0.0
1.050068e-02, 0.0
1.060090e-02, 0.0
1.070017e-02, 0.0
1.080039e-02, 0.0
1.090061e-02, 0.0
1.100084e-02, 0.0
1.110009e-02, 0.0
1.120032e-02, 0.0
1.130054e-02, 0.0
1.140076e-02, 0.0
1.150002e-02, 0.0
1.160024e-02, 0.0
1.170046e-02, 0.0
1.180069e-02, 0.0
1.190091e-02, 0.0
1.200017e-02, 0.0
1.210039e-02, 0.0
1.220061e-02, 0.0
1.230084e-02, 0.0
1.240009e-02, 0.0
1.250032e-02, 0.0
1.260054e-02, 0.0
1.270077e-02, 0.0
1.280003e-02, 0.0
1.290025e-02, 0.0
1.300048e-02, 0.0
1.310070e-02, 0.0
1.320092e-02, 0.0
1.330019e-02, 0.0
1.340041e-02, 0.0
1.350064e-02, 0.0
1.360086e-02, 0.0
1.370013e-02, 0.0
1.380035e-02, 0.0
1.390058e-02, 0.0
1.400080e-02, 0.0
1.410007e-02, 0.0
1.420030e-02, 0.0
1.430052e-02, 0.0
