t,area
0.000000e+00, 0.0
1.000329e-04, 0.0
2.000826e-04, 0.0
3.001327e-04, 0.0
4.007126e-04, 0.0
5.001931e-04, 0.0
6.000418e-04, 0.0
7.002548e-04, 0.0
8.001059e-04, 0.0
9.002234e-04, 0.0
1.000408e-03, 0.0
1.100638e-03, 0.0
1.200196e-03, 0.0
1.300480e-03, 0.0
1.400071e-03, 0.0
1.500350e-03, 0.0
1.600601e-03, 0.0
1.700132e-03, 0.0
1.800291e-03, 0.0
1.900380e-03, 0.0
2.000384e-03, 0.0
2.100290e-03, 0.0
2.200082e-03, 0.0
2.300396e-03, 0.0
2.400558e-03, 0.0
2.500556e-03, 0.0
2.600375e-03, 0.0
2.700002e-03, 0.0
2.800046e-03, 0.0
2.900477e-03, 0.0
3.000043e-03, 0.0
3.100567e-03, 0.0
3.200199e-03, 0.0
3.300135e-03, 0.0
3.400346e-03, 0.0
3.500219e-03, 0.0
3.600320e-03, 0.0
3.700048e-03, 0.0
3.800527e-03, 0.0
3.900025e-03, 0.0
4.000218e-03, 0.0
4.100511e-03, 0.0
4.200330e-03, 0.0
4.300205e-03, 0.0
4.400110e-03, 0.0
4.500016e-03, 0.0
4.600422e-03, 0.0
4.700249e-03, 0.0
4.800001e-03, 0.0
4.900157e-03, 0.0
5.000175e-03, 0.0
5.100031e-03, 0.0
5.200188e-03, 0.0
5.300123e-03, 0.0
5.400289e-03, 0.0
5.500175e-03, 0.0
5.600223e-03, 0.0
5.700394e-03, 0.0
5.800196e-03, 0.0
5.900055e-03, 0.0
6.000374e-03, 0.0
6.100228e-03, 0.0
6.200027e-03, 0.0
6.300160e-03, 0.0
6.400154e-03, 0.0
6.500388e-03, 0.0
6.600405e-03, 0.0
6.700171e-03, 0.0
